diameter,ddr,dp,cr,negative_points
5.0,0.05,0.0,0.0,0.0
5.0,0.060000000000000005,0.0,0.0,0.0
5.0,0.07,0.0,0.0,0.0
5.0,0.08000000000000002,0.0,0.0,0.0
5.0,0.09000000000000001,0.0,0.0,0.0
5.0,0.1,0.0,0.0,0.0
5.0,0.11000000000000001,0.0,0.0,0.0
5.0,0.12000000000000001,0.0,0.0,0.0
5.0,0.13,0.0,0.0,0.0
5.0,0.14,0.0,0.0,0.0
5.0,0.15000000000000002,0.0,0.0,0.0
5.0,0.16000000000000003,0.0,0.0,0.0
5.0,0.17000000000000004,0.0,0.0,0.0
5.0,0.18000000000000005,0.0,0.0,0.0
5.0,0.19,0.0,0.0,0.0
5.0,0.2,0.0,0.0,0.0
5.0,0.21000000000000002,0.0,0.0,0.0
5.0,0.22000000000000003,0.0,0.0,0.0
5.0,0.23000000000000004,0.0,0.0,0.0
5.0,0.24000000000000005,0.0,0.0,0.0
5.0,0.25000000000000006,0.0,0.0,0.0
5.0,0.26000000000000006,0.0,0.0,0.0
5.0,0.27,0.0,0.0,0.0
5.0,0.28,0.0,0.0,0.0
5.0,0.29000000000000004,0.0,0.0,0.0
5.0,0.30000000000000004,0.0,0.0,0.0
5.0,0.31000000000000005,0.0,0.0,0.0
5.0,0.32000000000000006,0.0,0.0,0.0
5.0,0.33,0.0,0.0,0.0
5.0,0.34,0.0,0.0,0.0
5.0,0.35000000000000003,0.0,0.0,0.0
5.0,0.36000000000000004,0.0,0.0,0.0
5.0,0.37000000000000005,0.0,0.0,0.0
5.0,0.38000000000000006,0.0,0.0,0.0
5.0,0.39000000000000007,0.0,0.0,0.0
5.0,0.4000000000000001,0.0,0.0,0.0
5.0,0.4100000000000001,0.0,0.0,0.0
5.0,0.42000000000000004,0.0,0.0,0.0
5.0,0.43000000000000005,0.0,0.0,0.0
5.0,0.44000000000000006,0.0,0.0,0.0
5.0,0.45000000000000007,0.0,0.0,0.0
5.0,0.4600000000000001,0.0,0.0,0.0
5.0,0.4700000000000001,0.0,0.0,0.0
5.0,0.4800000000000001,0.0,0.0,0.0
5.0,0.49000000000000005,0.0,0.0,0.0
5.0,0.5000000000000001,0.0,0.0,0.0
8.0,0.05,1.0,0.20680105766558307,5.1
8.0,0.060000000000000005,1.0,0.3374396304308255,10.1
8.0,0.07,1.0,0.6714765367339736,12.0
8.0,0.08000000000000002,1.0,0.7169753307651736,13.7
8.0,0.09000000000000001,1.0,0.7449486532256823,14.0
8.0,0.1,1.0,0.7123370905518638,14.1
8.0,0.11000000000000001,1.0,0.7613694037452523,15.2
8.0,0.12000000000000001,1.0,0.7636434674847935,16.0
8.0,0.13,1.0,0.767546401593116,16.0
8.0,0.14,1.0,0.7463121271600652,16.0
8.0,0.15000000000000002,1.0,0.7526456707359482,16.0
8.0,0.16000000000000003,1.0,0.7353802912493599,16.0
8.0,0.17000000000000004,1.0,0.7156101324631974,16.0
8.0,0.18000000000000005,1.0,0.7655148850954878,16.0
8.0,0.19,1.0,0.608475097484837,16.2
8.0,0.2,1.0,0.5342560457031627,16.6
8.0,0.21000000000000002,1.0,0.5885715879922698,17.3
8.0,0.22000000000000003,1.0,0.5729856585802299,17.8
8.0,0.23000000000000004,1.0,0.5122222357758051,17.6
8.0,0.24000000000000005,1.0,0.5828187335928303,18.0
8.0,0.25000000000000006,1.0,0.6148636175594526,18.0
8.0,0.26000000000000006,1.0,0.6320556058038678,18.0
8.0,0.27,1.0,0.640205253412438,18.0
8.0,0.28,1.0,0.6536576443388572,18.0
8.0,0.29000000000000004,1.0,0.6663553570065481,18.0
8.0,0.30000000000000004,1.0,0.7048011924187609,18.0
8.0,0.31000000000000005,1.0,0.7070318552203104,18.0
8.0,0.32000000000000006,1.0,0.716566857997921,18.0
8.0,0.33,1.0,0.7307607620724402,18.0
