front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
10.0,1.5,5.0,0.05,1.0,0.30097930939778494,9.0
10.0,1.5,5.0,0.060000000000000005,1.0,0.3445237593057636,11.0
10.0,1.5,5.0,0.07,1.0,0.37664603404667535,13.0
10.0,1.5,5.0,0.08000000000000002,1.0,0.4152078559318991,15.0
10.0,1.5,5.0,0.09000000000000001,1.0,0.4403819014521389,15.2
10.0,1.5,5.0,0.1,1.0,0.46762093114862424,17.7
10.0,1.5,5.0,0.11000000000000001,1.0,0.4844522213365529,19.9
10.0,1.5,5.0,0.12000000000000001,1.0,0.5028556149758912,20.6
10.0,1.5,5.0,0.13,1.0,0.514008683860171,21.8
10.0,1.5,5.0,0.14,1.0,0.5361955154547491,21.9
10.0,1.5,5.0,0.15000000000000002,1.0,0.4868468728424654,22.4
10.0,1.5,5.0,0.16000000000000003,1.0,0.4175500238790571,22.6
10.0,1.5,5.0,0.17000000000000004,1.0,0.36022685221964557,23.7
10.0,1.5,5.0,0.18000000000000005,1.0,0.349016088537418,23.4
10.0,1.5,5.0,0.19,1.0,0.3725443633944146,24.0
10.0,1.5,5.0,0.2,1.0,0.3850867792571717,24.0
10.0,1.5,5.0,0.21000000000000002,1.0,0.3989504110886959,24.0
10.0,1.5,5.0,0.22000000000000003,1.0,0.4025104341641919,24.1
10.0,1.5,5.0,0.23000000000000004,1.0,0.41153919806533407,24.2
10.0,1.5,5.0,0.24000000000000005,1.0,0.420708018954846,24.3
10.0,1.5,5.0,0.25000000000000006,1.0,0.43700601516883014,24.2
10.0,1.5,5.0,0.26000000000000006,1.0,0.44532755612862596,24.8
10.0,1.5,5.0,0.27,1.0,0.45870831045565186,24.8
10.0,1.5,5.0,0.28,1.0,0.4669305252638137,25.2
10.0,1.5,5.0,0.29000000000000004,1.0,0.4664210724294696,25.1
10.0,1.5,5.0,0.30000000000000004,1.0,0.4824264616125742,25.5
10.0,1.5,5.0,0.31000000000000005,1.0,0.49980595158019997,25.5
10.0,1.5,5.0,0.32000000000000006,1.0,0.5012352777625912,25.8
10.0,1.5,5.0,0.33,1.0,0.5133645005694192,26.0
10.0,1.5,5.0,0.34,1.0,0.5157790782157741,26.0
10.0,1.5,5.0,0.35000000000000003,1.0,0.5270169102229083,26.0
10.0,1.5,5.0,0.36000000000000004,1.0,0.5306009808037583,26.0
10.0,1.5,5.0,0.37000000000000005,1.0,0.5365459602481489,26.0
10.0,1.5,5.0,0.38000000000000006,1.0,0.5427412545982522,26.0
10.0,1.5,5.0,0.39000000000000007,1.0,0.5460219353129029,26.0
10.0,1.5,5.0,0.4000000000000001,1.0,0.5574934200506879,26.0
10.0,1.5,5.0,0.4100000000000001,1.0,0.5564320812799608,26.0
10.0,1.5,5.0,0.42000000000000004,1.0,0.5659804805326932,26.0
10.0,1.5,5.0,0.43000000000000005,1.0,0.5702398728668949,26.0
10.0,1.5,5.0,0.44000000000000006,1.0,0.5681402244248669,26.0
10.0,1.5,5.0,0.45000000000000007,1.0,0.5704652741380717,26.0
10.0,1.5,5.0,0.4600000000000001,1.0,0.5838945327544571,26.0
10.0,1.5,5.0,0.4700000000000001,1.0,0.5889229504958324,26.0
10.0,1.5,5.0,0.4800000000000001,1.0,0.5887250385005369,26.0
10.0,1.5,5.0,0.49000000000000005,1.0,0.5921046679969553,26.0
10.0,1.5,5.0,0.5000000000000001,1.0,0.5946542498897458,26.0
10.0,1.5,8.0,0.05,1.0,0.4168500085512298,41.0
10.0,1.5,8.0,0.060000000000000005,1.0,0.4549492209330201,44.7
10.0,1.5,8.0,0.07,1.0,0.47236454265911065,46.6
10.0,1.5,8.0,0.08000000000000002,1.0,0.5079268204870389,49.0
10.0,1.5,8.0,0.09000000000000001,1.0,0.47479783632323247,50.3
10.0,1.5,8.0,0.1,1.0,0.47572600059802905,51.0
10.0,1.5,8.0,0.11000000000000001,1.0,0.48159792181215727,51.0
10.0,1.5,8.0,0.12000000000000001,1.0,0.482643935429357,51.0
10.0,1.5,8.0,0.13,1.0,0.49015718601004554,51.1
10.0,1.5,8.0,0.14,1.0,0.5009035242137159,51.8
10.0,1.5,8.0,0.15000000000000002,1.0,0.5231688381883165,52.7
10.0,1.5,8.0,0.16000000000000003,1.0,0.531759030381148,53.0
10.0,1.5,8.0,0.17000000000000004,1.0,0.546215436257006,53.0
10.0,1.5,8.0,0.18000000000000005,1.0,0.5610875201021991,53.0
10.0,1.5,8.0,0.19,1.0,0.5695488549976908,53.0
10.0,1.5,8.0,0.2,1.0,0.5844548815596696,53.0
10.0,1.5,8.0,0.21000000000000002,1.0,0.5921571329511874,53.0
10.0,1.5,8.0,0.22000000000000003,1.0,0.6072662352025386,53.0
10.0,1.5,8.0,0.23000000000000004,1.0,0.6073981076719602,53.0
10.0,1.5,8.0,0.24000000000000005,1.0,0.6144925874730115,53.0
10.0,1.5,8.0,0.25000000000000006,1.0,0.621290189240377,53.0
10.0,1.5,8.0,0.26000000000000006,1.0,0.6299543618396803,53.0
10.0,1.5,8.0,0.27,1.0,0.6394248144324469,53.0
10.0,1.5,8.0,0.28,1.0,0.6411380623750617,55.0
10.0,1.5,8.0,0.29000000000000004,1.0,0.64979361948398,55.0
10.0,1.5,8.0,0.30000000000000004,1.0,0.656417784522213,55.0
10.0,1.5,8.0,0.31000000000000005,1.0,0.6614172152833311,55.0
10.0,1.5,8.0,0.32000000000000006,1.0,0.6656479669446302,55.0
10.0,1.5,8.0,0.33,1.0,0.6728017672559885,55.1
10.0,1.5,8.0,0.34,1.0,0.6765374185266058,55.0
10.0,1.5,8.0,0.35000000000000003,1.0,0.6815963257884491,55.2
10.0,1.5,8.0,0.36000000000000004,1.0,0.686826493784797,55.4
10.0,1.5,8.0,0.37000000000000005,1.0,0.6906238513832688,55.1
10.0,1.5,8.0,0.38000000000000006,1.0,0.6994834980997073,55.9
10.0,1.5,8.0,0.39000000000000007,1.0,0.7019594138482731,55.7
10.0,1.5,8.0,0.4000000000000001,1.0,0.7023617560643356,55.7
10.0,1.5,8.0,0.4100000000000001,1.0,0.7080541660993545,55.9
10.0,1.5,8.0,0.42000000000000004,1.0,0.7116795469411066,56.2
10.0,1.5,8.0,0.43000000000000005,1.0,0.7180773857951672,56.3
10.0,1.5,8.0,0.44000000000000006,1.0,0.722732596935517,56.8
10.0,1.5,8.0,0.45000000000000007,1.0,0.7213924767556665,56.4
10.0,1.5,8.0,0.4600000000000001,1.0,0.727832722720002,56.9
10.0,1.5,8.0,0.4700000000000001,1.0,0.7265853577312058,56.6
10.0,1.5,8.0,0.4800000000000001,1.0,0.7312382288032059,56.8
10.0,1.5,8.0,0.49000000000000005,1.0,0.730231544724419,56.8
10.0,1.5,8.0,0.5000000000000001,1.0,0.7333559221438524,57.0
10.0,1.5,10.0,0.05,1.0,0.4510084468171547,63.2
10.0,1.5,10.0,0.060000000000000005,1.0,0.4226800172532239,65.0
10.0,1.5,10.0,0.07,1.0,0.47108078845216783,69.0
10.0,1.5,10.0,0.08000000000000002,1.0,0.4736224296014472,69.0
10.0,1.5,10.0,0.09000000000000001,1.0,0.49553354937031163,70.3
10.0,1.5,10.0,0.1,1.0,0.5384495150456672,73.0
10.0,1.5,10.0,0.11000000000000001,1.0,0.5379962583429728,73.0
10.0,1.5,10.0,0.12000000000000001,1.0,0.5452916780050228,73.0
10.0,1.5,10.0,0.13,1.0,0.552358835101693,73.0
10.0,1.5,10.0,0.14,1.0,0.5671859590696146,73.0
10.0,1.5,10.0,0.15000000000000002,1.0,0.5632448557723454,73.0
10.0,1.5,10.0,0.16000000000000003,1.0,0.5914683647135741,73.1
10.0,1.5,10.0,0.17000000000000004,1.0,0.6055209104041068,73.7
10.0,1.5,10.0,0.18000000000000005,1.0,0.6207470867402247,74.9
10.0,1.5,10.0,0.19,1.0,0.6300055832668546,75.0
10.0,1.5,10.0,0.2,1.0,0.6284385747016259,75.0
10.0,1.5,10.0,0.21000000000000002,1.0,0.6241556606816554,75.0
10.0,1.5,10.0,0.22000000000000003,1.0,0.6325797855573694,75.0
10.0,1.5,10.0,0.23000000000000004,1.0,0.6412794552269709,75.0
10.0,1.5,10.0,0.24000000000000005,1.0,0.6485201513896371,75.0
10.0,1.5,10.0,0.25000000000000006,1.0,0.6557125973913014,75.0
10.0,1.5,10.0,0.26000000000000006,1.0,0.6625933552289043,75.0
10.0,1.5,10.0,0.27,1.0,0.6682012993901724,75.0
10.0,1.5,10.0,0.28,1.0,0.6751295103777106,75.0
10.0,1.5,10.0,0.29000000000000004,1.0,0.6787419781162051,75.0
10.0,1.5,10.0,0.30000000000000004,1.0,0.6840444614508878,75.0
10.0,1.5,10.0,0.31000000000000005,1.0,0.688581407514449,75.0
10.0,1.5,10.0,0.32000000000000006,1.0,0.6924249184124608,75.0
10.0,1.5,10.0,0.33,1.0,0.696798943318385,75.0
10.0,1.5,10.0,0.34,1.0,0.6994873191740282,75.0
10.0,1.5,10.0,0.35000000000000003,1.0,0.703358139503212,75.0
10.0,1.5,10.0,0.36000000000000004,1.0,0.7048626653777521,75.0
10.0,1.5,10.0,0.37000000000000005,1.0,0.7075521226094637,75.0
10.0,1.5,10.0,0.38000000000000006,1.0,0.7106792864606846,75.0
10.0,1.5,10.0,0.39000000000000007,1.0,0.7138961840789404,75.0
10.0,1.5,10.0,0.4000000000000001,1.0,0.7147214165569169,75.0
10.0,1.5,10.0,0.4100000000000001,1.0,0.7168399802099336,75.0
10.0,1.5,10.0,0.42000000000000004,1.0,0.7185280259325147,75.0
10.0,1.5,10.0,0.43000000000000005,1.0,0.7215764252697463,75.0
10.0,1.5,10.0,0.44000000000000006,1.0,0.7224760243752419,75.0
10.0,1.5,10.0,0.45000000000000007,1.0,0.7252627321619529,75.0
10.0,1.5,10.0,0.4600000000000001,1.0,0.7252464630673694,75.0
10.0,1.5,10.0,0.4700000000000001,1.0,0.7276579660895829,75.0
10.0,1.5,10.0,0.4800000000000001,1.0,0.7300115716802742,75.0
10.0,1.5,10.0,0.49000000000000005,1.0,0.730586167490799,75.0
10.0,1.5,10.0,0.5000000000000001,1.0,0.7316973145991488,75.0
